discounttype,stor_id,lowqty,highqty,discount,stor_name,stor_address,city_x,state_x,zip_x,ord_num,ord_date,qty,payterms,title_id,title,type,pub_id,price,advance,royalty_x,ytd_sales,notes,pubdate,lorange,hirange,royalty_y,au_id,au_ord,royaltyper,au_lname,au_fname,phone,address,city_y,state_y,zip_y,contract,pub_name,city,state,country,pr_info,emp_id,fname,minit,lname,job_id,job_lvl,hire_date,job_desc,min_lvl,max_lvl
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,8001.0,10000.0,20.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,10001.0,12000.0,22.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,12001.0,50000.0,24.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7067.0,,,,News & Brews,577 First St.,Los Gatos,CA,96745.0,P2121,1992-06-15 00:00:00,20.0,Net 30,TC7777,Sushi Anyone?,trad_cook,877.0,14.99,8000.0,10.0,4095.0,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12 00:00:00,0.0,5000.0,10.0,267-41-2394,2.0,30.0,O'Leary,Michael,408 286-2428,22 Cleveland Av. #14,San Jose,CA,95128.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7067.0,,,,News & Brews,577 First St.,Los Gatos,CA,96745.0,P2121,1992-06-15 00:00:00,20.0,Net 30,TC7777,Sushi Anyone?,trad_cook,877.0,14.99,8000.0,10.0,4095.0,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12 00:00:00,5001.0,15000.0,12.0,267-41-2394,2.0,30.0,O'Leary,Michael,408 286-2428,22 Cleveland Av. #14,San Jose,CA,95128.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7067.0,,,,News & Brews,577 First St.,Los Gatos,CA,96745.0,P2121,1992-06-15 00:00:00,20.0,Net 30,TC7777,Sushi Anyone?,trad_cook,877.0,14.99,8000.0,10.0,4095.0,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12 00:00:00,15001.0,50000.0,14.0,267-41-2394,2.0,30.0,O'Leary,Michael,408 286-2428,22 Cleveland Av. #14,San Jose,CA,95128.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,P3087a,1993-05-29 00:00:00,20.0,Net 60,PS1372,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,877.0,21.59,7000.0,10.0,375.0,A must for the specialist this book examines the difference between those who hate and fear computers and those who don't.,1991-10-21 00:00:00,0.0,10000.0,10.0,724-80-9391,2.0,25.0,MacFeather,Stearns,415 354-7128,44 Upland Hts.,Oakland,CA,94612.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,P3087a,1993-05-29 00:00:00,20.0,Net 60,PS1372,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,877.0,21.59,7000.0,10.0,375.0,A must for the specialist this book examines the difference between those who hate and fear computers and those who don't.,1991-10-21 00:00:00,10001.0,20000.0,12.0,724-80-9391,2.0,25.0,MacFeather,Stearns,415 354-7128,44 Upland Hts.,Oakland,CA,94612.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,P3087a,1993-05-29 00:00:00,20.0,Net 60,PS1372,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,877.0,21.59,7000.0,10.0,375.0,A must for the specialist this book examines the difference between those who hate and fear computers and those who don't.,1991-10-21 00:00:00,20001.0,30000.0,14.0,724-80-9391,2.0,25.0,MacFeather,Stearns,415 354-7128,44 Upland Hts.,Oakland,CA,94612.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,P3087a,1993-05-29 00:00:00,20.0,Net 60,PS1372,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,877.0,21.59,7000.0,10.0,375.0,A must for the specialist this book examines the difference between those who hate and fear computers and those who don't.,1991-10-21 00:00:00,30001.0,40000.0,16.0,724-80-9391,2.0,25.0,MacFeather,Stearns,415 354-7128,44 Upland Hts.,Oakland,CA,94612.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,P3087a,1993-05-29 00:00:00,20.0,Net 60,PS1372,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,877.0,21.59,7000.0,10.0,375.0,A must for the specialist this book examines the difference between those who hate and fear computers and those who don't.,1991-10-21 00:00:00,40001.0,50000.0,18.0,724-80-9391,2.0,25.0,MacFeather,Stearns,415 354-7128,44 Upland Hts.,Oakland,CA,94612.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
