indirizzo_id,indirizzo,indirizzo2,distretto,città_id,codice_postale,telefono
129,569 Baicheng Lane,,Gauteng,85,60304.0,490211944645
124,241 Mosul Lane,,Risaralda,147,76157.0,765345144779
64,81 Hodeida Way,,Rajasthan,231,55561.0,250767749542
472,1447 Chatsworth Place,,Chihuahua,129,41545.0,769370126331
364,1623 Kingstown Drive,,Buenos Aires,20,91299.0,296394569728
58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,227,48980.0,920811325222
531,1986 Sivas Place,,Friuli-Venezia Giuli,551,95775.0,182059202712
12,478 Joliet Way,,Hamilton,200,77948.0,657282285970
177,1010 Klerksdorp Way,,Steiermark,186,6802.0,493008546874
266,862 Xintai Lane,,Cagayan Valley,548,30065.0,265153400632
466,118 Jaffna Loop,,Northern Mindanao,182,10447.0,325526730021
202,955 Bamenda Way,,Ondo & Ekiti,218,1545.0,768481779568
168,842 Salzburg Lane,,Adana,529,3313.0,697151428760
561,1497 Fengshan Drive,,KwaZulu-Natal,112,63022.0,368738360376
219,1229 Valencia Parkway,,Haskovo,498,99124.0,352679173732
198,345 Oshawa Boulevard,,Tokyo-to,204,32114.0,104491201771
304,1635 Kuwana Boulevard,,Hiroshima,205,52137.0,710603868323
481,1153 Allende Way,,Québec,179,20336.0,856872225376
429,1269 Botosani Manor,,Guangdong,468,47394.0,736517327853
130,1666 Qomsheh Drive,,São Paulo,410,66255.0,582835362905
83,586 Tete Way,,Kanagawa,256,1079.0,18581624103
396,767 Pyongyang Drive,,Osaka,229,83536.0,667736124769
433,1823 Hoshiarpur Lane,,Komi,510,33191.0,307133768620
520,1778 Gijón Manor,,Hubei,594,35156.0,288910576761
375,1049 Matamoros Parkway,,Karnataka,191,69640.0,960505250340
453,319 Springs Loop,,Baijeri,160,99552.0,72524459905
24,1688 Okara Way,,Nothwest Border Prov,327,21954.0,144453869132
262,771 Yaoundé Manor,,Sofala,64,86768.0,245477603573
524,680 A Coruña (La Coruña) Manor,,Sivas,482,49806.0,158326114853
264,1027 Banjul Place,,West Bengali,197,50390.0,538241037443
274,920 Kumbakonam Loop,,California,446,75090.0,685010736240
570,415 Pune Avenue,,Shandong,580,44274.0,203202500108
318,1774 Yaoundé Place,,Hubei,166,91400.0,613124286867
209,1679 Antofagasta Street,,Alto Paran,122,86599.0,905903574913
9,53 Idfu Parkway,,Nantou,361,42399.0,10655648674
100,1308 Arecibo Way,,Georgia,41,30695.0,6171054059
178,1848 Salala Boulevard,,Miranda,373,25220.0,48265851133
395,1337 Mit Ghamr Avenue,,Nakhon Sawan,358,29810.0,175283210378
503,1416 San Juan Bautista Tuxtepec Avenue,,Zufar,444,50592.0,144206758053
115,1378 Alvorada Avenue,,Distrito Federal,102,75834.0,272234298332
434,1404 Taguig Drive,,Okayama,547,87212.0,572068624538
598,42 Fontana Avenue,,Fejr,512,14684.0,437829801725
312,1354 Siegen Street,,Rio de Janeiro,25,80184.0,573441801529
98,152 Kitwe Parkway,,Caraga,82,53182.0,835433605312
237,1736 Cavite Place,,Qina,216,98775.0,431770603551
259,1338 Zalantun Lane,,Minas Gerais,413,45403.0,840522972766
28,96 Tafuna Way,,Córdoba,128,99865.0,934730187245
69,698 Otsu Street,,Cayenne,105,71110.0,409983924481
474,1469 Plock Lane,,Galicia,388,95835.0,622884741180
61,943 Tokat Street,,Vaduz,560,45428.0,889318963672
444,231 Kaliningrad Place,,Lombardia,70,57833.0,575081026569
172,475 Atšinsk Way,,Gansu,240,59571.0,201705577290
291,1155 Liaocheng Place,,Oyo & Osun,152,22650.0,558236142492
537,958 Sagamihara Lane,,Mie,287,88408.0,427274926505
581,186 Skikda Lane,,Morelos,131,89422.0,14465669789
150,879 Newcastle Way,,Michigan,499,90732.0,206841104594
220,1201 Qomsheh Manor,,Gois,28,21464.0,873492228462
299,32 Pudukkottai Lane,,Ohio,140,38834.0,967274728547
360,619 Huánuco Avenue,,Shimane,331,81508.0,142596392389
595,1074 Sanaa Parkway,,Loja,311,22474.0,154124128457
142,1587 Sullana Lane,,Inner Mongolia,207,85769.0,468060467018
546,191 José Azueta Parkway,,Ruse,436,13629.0,932156667696
502,1515 Korla Way,,England,589,57197.0,959467760895
368,1658 Jastrzebie-Zdrój Loop,,Central,372,96584.0,568367775448
44,671 Graz Street,,Oriental,353,94399.0,680768868518
71,1586 Guarujá Place,,Hunan,579,5135.0,947233365992
323,1769 Iwaki Lane,,Kujawsko-Pomorskie,97,25787.0,556100547674
534,486 Ondo Parkway,,Benguela,67,35202.0,105882218332
155,1560 Jelets Boulevard,,Shandong,291,77777.0,189446090264
419,397 Sunnyvale Avenue,,Guanajuato,19,55566.0,680851640676
43,306 Antofagasta Place,,Esprito Santo,569,3989.0,378318851631
377,154 Oshawa Manor,,East Java,415,72771.0,440365973660
557,1407 Pachuca de Soto Place,,Rio Grande do Sul,21,26284.0,380077794770
194,605 Rio Claro Parkway,,Tabora,513,49348.0,352469351088
324,1145 Vilnius Manor,,Mxico,451,73170.0,674805712553
49,1718 Valencia Street,,Antofagasta,27,37359.0,675292816413
549,454 Qinhuangdao Drive,,Tadla-Azilal,68,25866.0,786270036240
279,1884 Shikarpur Avenue,,Haryana,263,85548.0,959949395183
280,1980 Kamjanets-Podilskyi Street,,Illinois,404,89502.0,874337098891
504,1 Valle de Santiago Avenue,,Apulia,93,86208.0,465897838272
551,182 Nuku´alofa Drive,,Sumy,275,15414.0,426346224043
167,1287 Xi´angfan Boulevard,,Gifu,253,57844.0,819416131190
112,1002 Ahmadnagar Manor,,Mxico,213,93026.0,371490777743
394,753 Ilorin Avenue,,Sichuan,157,3656.0,464511145118
354,953 Hodeida Street,,Southern Tagalog,221,18841.0,53912826864
230,201 Effon-Alaiye Way,,Asunción,37,64344.0,684192903087
269,446 Kirovo-Tšepetsk Lane,,Osaka,203,19428.0,303967439816
204,387 Mwene-Ditu Drive,,Ahal,35,8073.0,764477681869
476,270 Tambaram Parkway,,Gauteng,244,9668.0,248446668735
275,906 Goiânia Way,,Wielkopolskie,255,83565.0,701767622697
309,827 Yuncheng Drive,,Callao,99,79047.0,504434452842
222,1168 Najafabad Parkway,,Kabol,251,40301.0,886649065861
50,46 Pjatigorsk Lane,,Moscow (City),343,23616.0,262076994845
445,495 Bhimavaram Lane,,Maharashtra,144,3.0,82088937724
451,1704 Tambaram Manor,,West Bengali,554,2834.0,39463554936
521,568 Dhule (Dhulia) Loop,,Coquimbo,127,92568.0,602101369463
293,86 Higashiosaka Lane,,Guanajuato,563,33768.0,957128697225
539,1332 Gaziantep Lane,,Shandong,80,22813.0,383353187467
471,1322 Mosul Parkway,,Shandong,145,95400.0,268053970382
41,1440 Fukuyama Loop,,Henan,362,47929.0,912257250465
403,1190 0 Place,,Rio Grande do Sul,44,10417.0,841876514789
138,765 Southampton Drive,,al-Qalyubiya,421,4285.0,23712411567
233,356 Olomouc Manor,,Gois,26,93323.0,22326410776
92,1942 Ciparay Parkway,,Cheju,113,82624.0,978987363654
152,1952 Pune Lane,,Saint-Denis,442,92150.0,354615066969
456,814 Simferopol Loop,,Sinaloa,154,48745.0,524567129902
242,1964 Gijón Manor,,Karnataka,473,14408.0,918119601885
316,746 Joliet Lane,,Kursk,286,94878.0,688485191923
82,936 Salzburg Lane,,Uttar Pradesh,425,96709.0,875756771675
117,1079 Tel Aviv-Jaffa Boulevard,,Sucre,132,10885.0,358178933857
228,60 Poços de Caldas Street,,Rajasthan,243,82338.0,963063788669
569,1342 Abha Boulevard,,Bukarest,95,10714.0,997453607116
410,88 Nagaon Manor,,Buenos Aires,524,86868.0,779461480495
558,904 Clarksville Drive,,Zhejiang,193,52234.0,955349440539
547,379 Lublin Parkway,,Toscana,309,74568.0,921960450089
131,801 Hagonoy Drive,,Smolensk,484,8439.0,237426099212
431,1596 Acuña Parkway,,Jharkhand,418,70425.0,157133457169
301,951 Stara Zagora Manor,,Punjab,400,98573.0,429925609431
427,1557 Cape Coral Parkway,,Hubei,293,46875.0,368284120423
374,433 Florencia Street,,Chihuahua,250,91330.0,561729882725
10,1795 Santiago de Compostela Way,,Texas,295,18743.0,860452626434
577,1501 Pangkal Pinang Avenue,,Mazowieckie,409,943.0,770864062795
246,1246 Boksburg Parkway,,Hebei,422,28349.0,890283544295
334,1816 Bydgoszcz Loop,,Dhaka,234,64308.0,965273813662
587,760 Miyakonojo Drive,,Guerrero,246,64682.0,294449058179
21,270 Toulon Boulevard,,Kalmykia,156,81766.0,407752414682
605,1325 Fukuyama Street,,Heilongjiang,537,27107.0,288241215394
288,226 Halifax Street,,Xinxiang,277,58492.0,790651020929
189,927 Barcelona Street,,Chaharmahal va Bakht,467,65121.0,951486492670
282,556 Baybay Manor,,Oyo & Osun,374,55802.0,363982224739
552,390 Wroclaw Way,,Hainan,462,5753.0,357593328658
34,1668 Anápolis Street,,Taipei,316,50199.0,525255540978
96,984 Effon-Alaiye Avenue,,Gois,183,17119.0,132986892228
45,42 Brindisi Place,,Yerevan,586,16744.0,42384721397
483,632 Usolje-Sibirskoje Parkway,,Ha Darom,36,73085.0,667648979883
441,983 Santa Fé Way,,British Colombia,565,47472.0,145720452260
119,1107 Nakhon Sawan Avenue,,Mxico,365,75149.0,867546627903
578,1405 Hagonoy Avenue,,Slaskie,133,86587.0,867287719310
201,817 Bradford Loop,,Ji´angsu,109,89459.0,264286442804
523,608 Birgunj Parkway,,Taipei,116,400.0,627425618482
600,1837 Kaduna Parkway,,Inner Mongolia,241,82580.0,640843562301
103,588 Vila Velha Manor,,Kyongsangbuk,268,51540.0,333339908719
283,457 Tongliao Loop,,Bursa,222,56254.0,880756161823
252,1309 Weifang Street,,Florida,520,57338.0,435785045362
535,635 Brest Manor,,Andhra Pradesh,75,40899.0,80593242951
80,602 Paarl Street,,Pavlodar,402,98889.0,896314772871
366,114 Jalib al-Shuyukh Manor,,Centre,585,60440.0,845378657301
139,943 Johannesburg Avenue,,Maharashtra,417,5892.0,90921003005
490,1909 Dayton Avenue,,Guangdong,469,88513.0,702955450528
482,808 Naçala-Porto Parkway,,England,500,41060.0,553452430707
404,734 Béchar Place,,Punjab,375,30586.0,280578750435
390,102 Chapra Drive,,Ibaragi,521,14073.0,776031833752
341,1920 Weifang Avenue,,Uttar Pradesh,427,15643.0,869507847714
256,1497 Yuzhou Drive,,England,312,3433.0,246810237916
508,496 Celaya Drive,,Nagano,552,90797.0,759586584889
465,734 Tanshui Avenue,,Caquet,170,70664.0,366776723320
370,1565 Tangail Manor,,Okinawa,377,45750.0,634445428822
359,519 Nyeri Manor,,São Paulo,461,37650.0,764680915323
144,1666 Beni-Mellal Place,,Tennessee,123,13377.0,9099941466
133,1854 Tieli Street,,Shandong,302,15819.0,509492324775
285,1006 Santa Bárbara d´Oeste Manor,,Ondo & Ekiti,389,36229.0,85059738746
440,722 Bradford Lane,,Shandong,249,90920.0,746251338300
449,1289 Belém Boulevard,,Tartumaa,530,88306.0,237368926031
145,928 Jaffna Loop,,Hiroshima,172,93762.0,581852137991
343,1443 Mardan Street,,Western Cape,392,31483.0,231383037471
356,1378 Beira Loop,,Krasnojarsk,597,40792.0,840957664136
447,105 Dzerzinsk Manor,,Inner Mongolia,540,48570.0,240776414296
175,316 Uruapan Street,,Perak,223,58194.0,275788967899
423,437 Chungho Drive,,Puerto Plata,450,59489.0,491271355190
240,1479 Rustenburg Boulevard,,Southern Tagalog,527,18727.0,727785483194
516,1574 Goiânia Boulevard,,Heilongjiang,502,39529.0,59634255214
458,138 Caracas Boulevard,,Zulia,326,16790.0,974433019532
199,1792 Valle de la Pascua Place,,Nordrhein-Westfalen,477,15540.0,419419591240
141,1749 Daxian Place,,Gelderland,29,11044.0,963369996279
19,419 Iligan Lane,,Madhya Pradesh,76,72878.0,990911107354
147,374 Bat Yam Boulevard,,Kilis,266,97700.0,923261616249
592,1923 Stara Zagora Lane,,Nantou,546,95179.0,182178609211
197,447 Surakarta Loop,,Nyanza,271,10428.0,940830176580
544,183 Haiphong Street,,Jilin,46,69953.0,488600270038
369,817 Laredo Avenue,,Jalisco,188,77449.0,151249681135
494,591 Sungai Petani Drive,,Okayama,376,46400.0,37247325001
163,1440 Compton Place,,North Austria,307,81037.0,931059836497
281,1944 Bamenda Way,,Michigan,573,24645.0,75975221996
602,1101 Bucuresti Boulevard,,West Greece,401,97661.0,199514580428
22,320 Brest Avenue,,Kaduna,252,43331.0,747791594069
391,1793 Meixian Place,,Hmelnytskyi,258,33535.0,619966287415
575,1052 Pathankot Avenue,,Sichuan,299,77397.0,128499386727
460,659 Gatineau Boulevard,,La Paz,153,28587.0,205524798287
568,1342 Sharja Way,,Sokoto & Kebbi & Zam,488,93655.0,946114054231
62,1114 Liepaja Street,,Sarawak,282,69226.0,212869228936
585,1208 Tama Loop,,Ninawa,344,73605.0,954786054144
121,1967 Sincelejo Place,,Gujarat,176,73644.0,577812616052
515,886 Tonghae Place,,Volgograd,259,19450.0,711928348157
308,687 Alessandria Parkway,,Sanaa,455,57587.0,407218522294
114,804 Elista Drive,,Hubei,159,61069.0,379804592943
229,1014 Loja Manor,,Tamil Nadu,22,66851.0,460795526514
420,992 Klerksdorp Loop,,Utrecht,23,33711.0,855290087237
179,431 Xi´angtan Avenue,,Kerala,18,4854.0,230250973122
244,1148 Saarbrücken Parkway,,Fukushima,226,1921.0,137773001988
389,500 Lincoln Parkway,,Ji´angsu,210,95509.0,550306965159
106,659 Vaduz Drive,,Ha Darom,34,49708.0,709935135487
512,1269 Ipoh Avenue,,Eskisehir,163,54674.0,402630109080
554,947 Tórshavn Place,,Central Luzon,528,841.0,50898428626
25,262 A Coruña (La Coruña) Parkway,,Dhaka,525,34418.0,892775750063
268,1831 Nam Dinh Loop,,National Capital Reg,323,51990.0,322888976727
90,870 Ashqelon Loop,,Songkhla,489,84931.0,135117278909
604,1331 Usak Boulevard,,Vaud,296,61960.0,145308717464
271,1587 Loja Manor,,Salzburg,447,5410.0,621625204422
574,502 Mandi Bahauddin Parkway,,Anzotegui,55,15992.0,618156722572
373,1922 Miraj Way,,Esfahan,356,13203.0,320471479776
345,68 Ponce Parkway,,Hanoi,201,85926.0,870635127812
435,740 Udaipur Lane,,Nizni Novgorod,150,33505.0,497288595103
412,1639 Saarbrücken Drive,,North West,437,9827.0,328494873422
555,1764 Jalib al-Shuyukh Parkway,,Galicia,459,77642.0,84794532510
174,1877 Ezhou Lane,,Rajasthan,550,63337.0,264541743403
176,29 Pyongyang Loop,,Batman,58,47753.0,734780743462
164,1623 Bahía Blanca Manor,,Moskova,310,81511.0,149981248346
85,320 Baiyin Parkway,,Mahajanga,319,37307.0,223664661973
421,966 Arecibo Loop,,Sind,134,94018.0,15273765306
187,1839 Székesfehérvár Parkway,,Gois,317,55709.0,947468818183
467,1621 Tongliao Avenue,,Irkutsk,558,22173.0,209342540247
325,1892 Nabereznyje Tšelny Lane,,Tutuila,516,28396.0,478229987054
580,923 Tangail Boulevard,,Tokyo-to,10,33384.0,315528269898
192,1166 Changhwa Street,,Caraga,62,58852.0,650752094490
510,48 Maracaíbo Place,,Central Luzon,519,1570.0,82671830126
13,613 Korolev Drive,,Masqat,329,45844.0,380657522649
8,1566 Inegöl Manor,,Mandalay,349,53561.0,705814003527
406,454 Patiala Lane,,Fukushima,276,13496.0,794553031307
223,1244 Allappuzha (Alleppey) Place,,Buenos Aires,567,20657.0,991802825778
63,1213 Ranchi Parkway,,Karnataka,350,94352.0,800024380485
426,1661 Abha Drive,,Tamil Nadu,416,14400.0,270456873752
439,1351 Aparecida de Goiânia Parkway,,Northern Mindanao,391,41775.0,959834530529
478,1078 Stara Zagora Drive,,Aceh,301,69221.0,932992626595
313,1191 Sungai Petani Boulevard,,Missouri,262,9668.0,983259819766
225,1926 Gingoog Street,,Sisilia,511,22824.0,469738825391
302,922 Vila Velha Loop,,Maharashtra,9,4085.0,510737228015
565,1741 Hoshiarpur Boulevard,,al-Sharqiya,79,22372.0,855066328617
335,587 Benguela Manor,,Illinois,42,91590.0,165450987037
200,1074 Binzhou Manor,,Baden-Wrttemberg,325,36490.0,331132568928
162,369 Papeete Way,,North Carolina,187,66639.0,170117068815
287,1405 Chisinau Place,,Ponce,411,8160.0,62781725285
584,1819 Alessandria Loop,,Campeche,103,53829.0,377633994405
15,1542 Tarlac Parkway,,Kanagawa,440,1027.0,635297277345
509,786 Matsue Way,,Illinois,245,37469.0,111177206479
344,1909 Benguela Lane,,Henan,581,19913.0,624138001031
442,1245 Ibirité Way,,La Romana,290,40926.0,331888642162
596,1759 Niznekamsk Avenue,,al-Manama,14,39414.0,864392582257
265,1158 Mandi Bahauddin Parkway,,Shanxi,136,98484.0,276555730211
358,1698 Southport Loop,,Hidalgo,393,49009.0,754358349853
586,951 Springs Lane,,Central Mindanao,219,96115.0,165164761435
306,1883 Maikop Lane,,Kaliningrad,254,68469.0,96110042435
491,1789 Saint-Denis Parkway,,Coahuila de Zaragoza,4,8268.0,936806643983
492,185 Mannheim Lane,,Stavropol,408,23661.0,589377568313
336,430 Kumbakonam Drive,,Santa Fé,457,28814.0,105470691550
55,1135 Izumisano Parkway,,California,171,48150.0,171822533480
91,1740 Portoviejo Avenue,,Sucre,480,29932.0,198123170793
203,1149 A Coruña (La Coruña) Boulevard,,Haiphong,194,95824.0,470884141195
408,990 Etawah Loop,,Tamil Nadu,564,79940.0,206169448769
191,140 Chiayi Parkway,,Sumy,506,38982.0,855863906434
303,898 Jining Lane,,Pohjois-Pohjanmaa,387,40070.0,161643343536
136,898 Belém Manor,,Free State,87,49757.0,707169393853
16,808 Bhopal Manor,,Haryana,582,10672.0,465887807014
582,1568 Celaya Parkway,,Kaohsiung,168,34750.0,278669994384
379,1133 Rizhao Avenue,,Pernambuco,572,2800.0,600264533987
79,1551 Rampur Lane,,Changhwa,108,72394.0,251164340471
564,505 Madiun Boulevard,,Dolnoslaskie,577,97271.0,970638808606
327,1427 A Coruña (La Coruña) Place,,Buenos Aires,45,85799.0,972574862516
51,686 Garland Manor,,Cear,247,52535.0,69493378813
464,76 Kermanshah Manor,,Esfahan,423,23343.0,762361821578
430,355 Vitória de Santo Antão Way,,Oaxaca,452,81758.0,548003849552
371,1912 Emeishan Drive,,Balikesir,50,33050.0,99883471275
484,98 Pyongyang Boulevard,,Ohio,11,88749.0,191958435142
414,1936 Lapu-Lapu Parkway,,Bauchi & Gombe,141,7122.0,653436985797
443,1836 Korla Parkway,,Copperbelt,272,55405.0,689681677428
234,1256 Bislig Boulevard,,Botosani,86,50598.0,479007229460
514,1747 Rustenburg Place,,Bihar,110,51369.0,442673923363
505,519 Brescia Parkway,,East Java,318,69504.0,793996678771
211,850 Salala Loop,,Kitaa,371,10800.0,403404780639
205,68 Molodetšno Manor,,Nordrhein-Westfalen,575,4662.0,146640639760
254,786 Stara Zagora Way,,Oyo & Osun,390,98332.0,716256596301
116,793 Cam Ranh Avenue,,California,292,87057.0,824370924746
108,1386 Yangor Avenue,,Provence-Alpes-Cte,543,80720.0,449216226468
37,127 Purnea (Purnia) Manor,,Piemonte,17,79388.0,911872220378
127,117 Boa Vista Way,,Uttar Pradesh,566,6804.0,677976133614
221,866 Shivapuri Manor,,Uttar Pradesh,448,22474.0,778502731092
496,775 Šostka Drive,,al-Daqahliya,337,22358.0,171973024401
104,1913 Kamakura Place,,Lipetsk,238,97287.0,942570536750
384,97 Mogiljov Lane,,Gujarat,73,89294.0,924815207181
487,1785 São Bernardo do Campo Street,,Veracruz,125,71182.0,684529463244
107,1177 Jelets Way,,Kwara & Kogi,220,3305.0,484292626944
232,754 Valencia Place,,Phnom Penh,406,87911.0,594319417514
239,98 Stara Zagora Boulevard,,Valle,96,76448.0,610173756082
567,1894 Boa Vista Way,,Texas,178,77464.0,239357986667
550,1715 Okayama Street,,São Paulo,485,55676.0,169352919175
248,582 Papeete Loop,,Central Visayas,294,27722.0,569868543137
224,1842 Luziânia Boulevard,,Zanzibar West,593,94420.0,706878974831
326,470 Boksburg Street,,Central,81,97960.0,908029859266
517,548 Uruapan Street,,Ontario,312,35653.0,879347453467
501,1060 Tandil Lane,,Shandong,432,72349.0,211256301880
350,1628 Nagareyama Lane,,Central,453,60079.0,20064292617
407,1346 Mysore Drive,,Bretagne,92,61507.0,516647474029
216,660 Jedda Boulevard,,Washington,65,25053.0,168758068397
134,758 Junan Lane,,Gois,190,82639.0,935448624185
593,1402 Zanzibar Boulevard,,Guanajuato,106,71102.0,387448063440
196,9 San Miguel de Tucumán Manor,,Uttar Pradesh,169,90845.0,956188728558
307,1908 Gaziantep Place,,Liaoning,536,58979.0,108053751300
125,211 Chiayi Drive,,Uttar Pradesh,164,58186.0,665993880048
48,1998 Halifax Drive,,Lipetsk,308,76022.0,177727722820
42,269 Cam Ranh Parkway,,Chisinau,115,34689.0,489783829737
210,1304 ´s-Hertogenbosch Way,,Santa Catarina,83,10925.0,90336226227
180,757 Rustenburg Avenue,,Skikda,483,89668.0,506134035434
173,1294 Firozabad Drive,,Ji´angxi,407,70618.0,161801569569
382,220 Hidalgo Drive,,Kermanshah,265,45298.0,342720754566
57,17 Kabul Boulevard,,Chiba,355,38594.0,697760867968
110,1867 San Juan Bautista Tuxtepec Avenue,,Ivanovo,225,78311.0,547003310357
123,1987 Coacalco de Berriozábal Loop,,al-Qalyubiya,476,96065.0,787654415858
88,125 Città del Vaticano Boulevard,,Puebla,40,67912.0,48417642933
372,230 Urawa Drive,,Andhra Pradesh,8,2738.0,166898395731
352,1673 Tangail Drive,,Daugavpils,137,26857.0,627924259271
113,682 Junan Way,,North West,273,30418.0,622255216127
226,810 Palghat (Palakkad) Boulevard,,Jaroslavl,235,73431.0,516331171356
446,1924 Shimonoseki Drive,,Batna,59,52625.0,406784385440
272,1762 Paarl Parkway,,Hunan,298,53928.0,192459639410
346,1217 Konotop Avenue,,Gelderland,151,504.0,718917251754
77,1947 Poços de Caldas Boulevard,,Chiayi,114,60951.0,427454485876
59,1697 Kowloon and New Kowloon Loop,,Moskova,49,57807.0,499352017190
97,832 Nakhon Sawan Manor,,Inner Mongolia,592,49021.0,275595571388
74,1124 Buenaventura Drive,,Mekka,13,6856.0,407733804223
118,442 Rae Bareli Place,,Nordrhein-Westfalen,148,24321.0,886636413768
54,115 Hidalgo Parkway,,Khartum,379,80168.0,307703950263
227,1820 Maringá Parkway,,Punjab,324,88307.0,99760893676
529,600 Purnea (Purnia) Avenue,,Nghe An,571,18043.0,638409958875
56,939 Probolinggo Loop,,Galicia,1,4166.0,680428310138
393,717 Changzhou Lane,,Southern Tagalog,104,21615.0,426255288071
339,503 Sogamoso Loop,,Sumqayit,505,49812.0,834626715837
258,752 Ondo Loop,,Miyazaki,338,32474.0,134673576619
166,1740 Le Mans Loop,,Pays de la Loire,297,22853.0,168476538960
207,1688 Nador Lane,,Sulawesi Utara,184,61613.0,652218196731
436,287 Cuautla Boulevard,,Chuquisaca,501,72736.0,82619513349
438,596 Huixquilucan Place,,Nampula,351,65892.0,342709348083
26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551.0,161968374323
215,1333 Haldia Street,,Jilin,174,82161.0,408304391718
284,600 Bradford Street,,East Azerbaidzan,514,96204.0,117592274996
36,176 Mandaluyong Place,,Uttar Pradesh,239,65213.0,627705991774
126,1175 Tanauan Way,,Lima,305,64615.0,937222955822
425,1866 al-Qatif Avenue,,California,155,89420.0,546793516940
543,43 Vilnius Manor,,Colorado,42,79814.0,484500282381
120,544 Malmö Parkway,,Central Java,403,63502.0,386759646229
525,1949 Sanya Street,,Gumma,224,61244.0,132100972047
572,539 Hami Way,,Tokat,538,52196.0,525518075499
351,1157 Nyeri Loop,,Adygea,320,56380.0,262744791493
601,844 Bucuresti Place,,Liaoning,242,36603.0,935952366111
383,686 Donostia-San Sebastián Lane,,Guangdong,471,97390.0,71857599858
319,1957 Yantai Lane,,São Paulo,490,59255.0,704948322302
362,482 Kowloon and New Kowloon Manor,,Bratislava,90,97056.0,738968474939
157,456 Escobar Way,,Jakarta Raya,232,36061.0,719202533520
579,521 San Juan Bautista Tuxtepec Place,,Qaraghandy,598,95093.0,844018348565
20,360 Toulouse Parkway,,England,495,54308.0,949312333307
190,435 0 Way,,West Bengali,195,74750.0,760171523969
146,483 Ljubertsy Parkway,,Scotland,149,60562.0,581174211853
473,1257 Guadalajara Street,,Karnataka,78,33599.0,195337700615
247,1483 Pathankot Street,,Tucumn,454,37288.0,686015532180
454,956 Nam Dinh Manor,,Kerman,481,21872.0,474047727727
295,544 Tarsus Boulevard,,Gurico,562,53145.0,892523334
470,1088 Ibirité Place,,Jalisco,595,88502.0,49084281333
576,1351 Sousse Lane,,Coahuila de Zaragoza,341,37815.0,203804046132
276,1675 Xi´angfan Manor,,Tamil Nadu,283,11763.0,271149517630
149,999 Sanaa Loop,,Gauteng,491,3439.0,918032330119
459,251 Florencia Drive,,Michoacn de Ocampo,556,16119.0,118011831565
263,532 Toulon Street,,Santiago,460,69517.0,46871694740
286,1308 Sumy Loop,,Fujian,175,30657.0,583021225407
18,770 Bydgoszcz Avenue,,California,120,16266.0,517338314235
29,934 San Felipe de Puerto Plata Street,,Sind,472,99780.0,196495945706
485,984 Novotšerkassk Loop,,Gaziantep,180,28165.0,435118527255
